CompanyName,CEO,YearEstablished,Description,Industry
"Akoustis Technologies, Inc.",Mr. Jeffrey B. Shealy,1997,"Akoustis Technologies, Inc., through its subsidiary, Akoustis, Inc., develops, designs, manufactures, and sells radio frequency (RF) filter products for the mobile wireless device industry in the United States. It operates through two segments, Foundry Fabrication Services and RF Filters. The Foundry Fabrication Services segment provides engineering review services; and semiconductor wafer-manufacturing and microelectromechanical systems foundry services. The RF Filters segment consists of amplifier and filter products. It offers RF filters for mobile wireless devices, such as smartphones and tablets, cellular infrastructure equipment, Wi-Fi customer premise equipment, military and defense applications. The company was incorporated in 2013 and is headquartered in Huntersville, North Carolina.",Communication Equipment
"Akari Therapeutics, Plc",Dr. Ray  Prudo-Chlebosz M.D.,1983,"Akari Therapeutics, Plc, a clinical-stage biopharmaceutical company, focuses on the development and commercialization of treatments for autoinflammatory diseases that involve complement and leukotriene pathways. Its lead product candidate is nomacopan, a second-generation complement inhibitor that is in Phase II clinical trial for the treatment of autoimmune and inflammatory diseases, including paroxysmal nocturnal hemoglobinuria, guillain barrÃ© syndrome, hematopoietic stem cell transplant-associated thrombotic microangiopathy, and bullous pemphigoid. Akari Therapeutics, Plc is based in London, the United Kingdom.",Biotechnology
Akumin Inc.,Mr. Riadh  Zine-El-Abidine,1972,"Akumin Inc. provides outpatient diagnostic imaging services in the United States. Its centers offer physicians with imaging capabilities to facilitate the diagnosis and treatment of diseases and disorders and reduce unnecessary invasive procedures. The company provides various medical imaging services, including magnetic resonance imaging, computed tomography, positron emission tomography, nuclear medicine, mammography, ultrasound, digital radiography, fluoroscopy, and other diagnostic or interventional radiology procedures; and online medical bill payment services. As of December 31, 2020, the company operated 127 outpatient diagnostic imaging centers located in Florida, Texas, Pennsylvania, Delaware, Georgia, Illinois, and Kansas. Akumin Inc. is headquartered in Plantation, Florida.",Diagnostics & Research
"Akouos, Inc.","Dr. Emmanuel  Simons M.B.A., Ph.D.",1983,"Akouos, Inc., a precision genetic medicine company, developing gene therapies to restore, improve, and preserve physiologic hearing for individuals. The company's precision genetic medicine platform incorporates a proprietary adeno-associated viral vector library and a novel delivery approach. Its lead product candidate is AK-OTOF, a gene therapy for the treatment of hearing loss due to mutations in the OTOF gene. The company is also developing AK-CLRN1 for the auditory manifestations of Usher syndrome 3A, or USH3A; and AK-antiVEGF for vestibular schwannoma. In addition, its precision genetic medicine platform addresses hearing loss related to genes needed for supporting cell function. Akouos, Inc. was incorporated in 2016 and is based in Boston, Massachusetts.",Biotechnology
"Akoya Biosciences, Inc.",Mr. Brian  McKelligon,1960,"Akoya Biosciences, Inc., a life sciences technology company, provides spatial biology solutions focused on transforming discovery and clinical research. The company offers single-cell imaging solutions that allow researchers to phenotype cells with spatial context and visualize how they organize and interact to influence disease progression and treatment response. It provides two distinct solutions, the CODEX and Phenoptics platforms, to serve the diverse needs of researchers across discovery, translational, and clinical research. The company was incorporated in 2015 and is headquartered in Marlborough, Massachusetts.",Medical Instruments & Supplies
Air Lease Corporation,Mr. Steven F. Udvar-HÃ¡zy,1988,"Air Lease Corporation, an aircraft leasing company, engages in the purchase and leasing of new commercial jet aircraft to airlines worldwide. The company also sells aircraft from its operating lease portfolio to third parties, including other leasing companies, financial services companies, airlines, and other investors. In addition, it provides fleet management services to investors and owners of aircraft portfolios. As of December 31, 2020, the company owned a fleet of 332 aircraft, including 236 narrowbody aircraft and 96 widebody aircraft. Air Lease Corporation was incorporated in 2010 and is headquartered in Los Angeles, California.",Rental & Leasing Services
Alberton Acquisition Corporation,Ms. Guan  Wang,1967,"Alberton Acquisition Corporation does not have significant operations. It focuses on the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more target businesses. The company was formerly known as Wisdom Resources Group Limited and changed its name to Alberton Acquisition Corporation in July 2018. Alberton Acquisition Corporation was founded in 2005 and is based in Wan Chai, Hong Kong.",Shell Companies
Alberton Acquisition Corporation,Ms. Guan  Wang,1982,"Alberton Acquisition Corporation does not have significant operations. It focuses on the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more target businesses. The company was formerly known as Wisdom Resources Group Limited and changed its name to Alberton Acquisition Corporation in July 2018. Alberton Acquisition Corporation was founded in 2005 and is based in Wan Chai, Hong Kong.",
Albemarle Corporation,Mr. Jerry Kent Masters Jr.,1953,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Lithium, Bromine Specialties, and Catalysts. The Lithium segment offers lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and lithium specialties; and reagents, such as butyllithium and lithium aluminum hydride for use in lithium batteries for consumer electronics and electric vehicles, high performance greases, thermoplastic elastomers for car tires, rubber soles, plastic bottles, catalysts for chemical reactions, organic synthesis processes in the areas of steroid chemistry and vitamins, life sciences, pharmaceutical industry, and other markets. It also provides cesium products for the chemical and pharmaceutical industries; zirconium, barium, and titanium products for pyrotechnical applications; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. The Bromine Specialties segment offers bromine and bromine-based fire safety solutions; specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals for use in chemical synthesis, oil and gas well drilling and completion fluids, mercury control, water purification, beef and poultry processing, and other industrial applications; and other specialty chemicals, such as tertiary amines, biocides, disinfectants, and sanitizers. The Catalysts segment provides hydroprocessing, isomerization, and akylation catalysts; fluidized catalytic cracking catalysts and additives; and organometallics and curatives. The company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, crop protection, and custom chemistry services markets. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina.",Specialty Chemicals
"Albireo Pharma, Inc.",Mr. Ronald H. W. Cooper,1956,"Albireo Pharma, Inc., a biopharmaceutical company, focuses on the development and commercialization of novel bile acid modulators to treat orphan pediatric liver diseases and other liver or gastrointestinal diseases and disorders. Its lead product candidate is odevixibat, an ileal bile acid transporter (IBAT) inhibitor that is in phase III clinical trial for treating patients with progressive familial intrahepatic cholestasis, as well as for treating biliary atresia, alagille syndrome, and other cholestatic liver diseases. The company is also developing Elobixibat for the treatment of chronic constipation and other functional diseases, and nonalcoholic steatohepatitis. It has a license agreement with EA Pharma Co., Ltd. for the development and commercialization of elobixibat. The company is headquartered in Boston, Massachusetts.",Biotechnology
Alcon Inc.,Mr. F. Michael Ball,1995,"Alcon, Inc., an eye care company, researches, develops, manufactures, distributes, and sells eye care products for eye care professionals and their patients worldwide. The company's Surgical segment offers equipment, instrumentation and diagnostics, intraocular lenses (IOLs), and other implantables; and consumables, including viscoelastics, surgical solutions, incisional instruments, surgical custom packs, and other products for use in surgical procedures. Its cataract products include centurion vision system, LenSx femtosecond laser, LuxOR surgical ophthalmic microscope, NGENUITY 3D visualization system, and ORA system for intra-operative measurements; custom pak surgical procedure packs; vitreoretinal products comprising constellation vision systems, procedure packs, lasers and hand-held microsurgical instruments, and grieshaber and MIVS instruments, as well as scissors, forceps and micro-instruments, medical grade vitreous tamponades, and Hypervit vitrectomy probes; refractive surgery products, including WaveLight lasers and Contoura Vision used for LASIK treatment; and EX-PRESS glaucoma filtration device; and implantables products, including AcrySof IQ IOLs products include monofocal IOLs and advanced technology IOLs under PanOptix and ReSTOR brands for the correction of presbyopia and astigmatism at the time of cataract surgery. Its Vision Care segment provides daily disposable, reusable, and color-enhancing contact lenses; ocular health products, including devices and over-the-counter products for dry eye, over-the-counter products for contact lens care, and ocular allergies; and ocular vitamins and redness relievers under the TOTAL, PRECISION, DAILIES AquaComfort PLUS, Air Optix, Opti-Free, Clear Care, Tears Naturale, Genteal, ICAPS, and Vitalux brands. The company was formerly known as Alcon Universal S.A. and changed the name to Alcon, Inc. in December 2001. Alcon, Inc. was founded in 1945 and is headquartered in Geneva, Switzerland.",Medical Instruments & Supplies
AltC Acquisition Corp.,Mr. Samuel H. Altman,1989,"AltC Acquisition Corp., a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses. The company was formerly known as Churchill Capital Corp VIII and changed its name to AltC Acquisition Corp. in February 24, 2021. The company was incorporated in 2021 and is based in New York, New York.",Shell Companies
"Alico, Inc.",Mr. John E. Kiernan,1973,"Alico, Inc., together with its subsidiaries, operates as an agribusiness and land management company in the United States. The company operates in two segments, Alico Citrus, and Land Management and Other Operations. The Alico Citrus segment cultivates citrus trees to produce citrus for delivery to the processed and fresh citrus markets. The Land Management and Other Operations segment owns and manages land in Collier, Glades, and Hendry Counties; and leasing of land for recreational and grazing purposes, conservation, and mining activities. As of September 30, 2020, it owned 99,760 acres of land located in eight counties in Florida, which include the Charlotte, Collier, DeSoto, Glades, Hardee, Hendry, Highlands, and Polk. The company was founded in 1960 and is headquartered in Fort Myers, Florida.",Farm Products
"Aldeyra Therapeutics, Inc.","Dr. Todd C. Brady M.D., Ph.D.",1977,"Aldeyra Therapeutics, Inc., a biotechnology company, develops and commercializes medicines for immune-mediated ocular and systemic diseases. The company's lead product candidate is reproxalap, an ophthalmic solution, which is in Phase III clinical trial for the treatment of dry eye diseases and allergic conjunctivitis. It also develops ADX-2191, a dihydrofolate reductase inhibitor which is in phase 3 for the prevention of proliferative vitreoretinopathy, and phase II clinical trial for the treatment of primary vitreoretinal lymphoma. The company's portfolio also consists of ADX-1612, a small molecule heat shock protein 90 (Hsp90) inhibitor for the treatment of lymphoproliferative diseases and covid-19; and reactive aldehyde species that are pro-inflammatory (RASP) scavengers, such as ADX-629 for treating autoimmune diseases, allergy, and covid-19, as well as ADX-103 for the treatment of retinal diseases. The company was formerly known as Aldexa Therapeutics, Inc. and changed its name to Aldeyra Therapeutics, Inc. in March 2014. Aldeyra Therapeutics, Inc. was incorporated in 2004 and is headquartered in Lexington, Massachusetts.",Biotechnology
"ALLETE, Inc.",Ms. Bethany M. Owen,1956,"ALLETE, Inc. operates as an energy company. The company operates through Regulated Operations, ALLETE Clean Energy, and Corporate and Other segments. It generates electricity from coal-fired, biomass co-fired / natural gas, hydroelectric, wind, and solar. The company provides regulated utility electric services in northwestern Wisconsin to approximately 15,000 electric customers, 13,000 natural gas customers, and 10,000 water customers, as well as regulated utility electric services in northeastern Minnesota to approximately 145,000 retail customers and 15 non-affiliated municipal customers. It also owns and maintains electric transmission assets in Wisconsin, Michigan, Minnesota, and Illinois. In addition, the company focuses on developing, acquiring, and operating clean and renewable energy projects; and owns and operates approximately 1,000 megawatts of wind energy generation facility. Further, it is involved in the coal mining operations in North Dakota; and real estate investment activities in Florida. The company owns and operates 158 substations with a total capacity of 10,066 megavolt amperes. It serves taconite mining, paper, pulp and secondary wood products, pipeline, and other industries. The company was formerly known as Minnesota Power, Inc. and changed its name to ALLETE, Inc. in May 2001. ALLETE, Inc. was incorporated in 1906 and is headquartered in Duluth, Minnesota.",Utilities—Diversified
"Alector, Inc.",Dr. Tillman Ulf Gerngross Ph.D.,1994,"Alector, Inc., a clinical stage biopharmaceutical company, develops therapies for the treatment of neurodegeneration diseases. Its products include AL001, a humanized recombinant monoclonal antibody, which is in Phase III clinical trial for the treatment of frontotemporal dementia, Alzheimer's, Parkinson's, and amyotrophic lateral sclerosis diseases; and AL101 that is in Phase I clinical trial for the treatment of neurodegenerative diseases, including Alzheimer's and Parkinson's diseases. The company also offers AL002, a product candidate that is in Phase II clinical trial for the treatment of Alzheimer's disease; and AL003, which is in Phase Ib clinical trial for the treatment of Alzheimer's disease. In addition, its products in development stage include AL044 that targets MS4A4A, a risk gene for Alzheimer's disease; and 8 candidates in immuno-neurology/immuno-oncology field comprise ADP012, ADP016, ADP017, ADP023, ADP026, ADP122, ADP009, and ADP022. Alector, Inc. has a collaboration agreement with Adimab, LLC for the research and development of antibodies; and a strategic collaboration agreement with GlaxoSmithKline plc for the development and commercialization of monoclonal antibodies, such as AL001 and AL101 to treat neurodegenerative diseases. The company was founded in 2013 and is headquartered in South San Francisco, California.",Biotechnology
"Alexander & Baldwin, Inc.",Mr. Christopher J. Benjamin,1973,"Alexander & Baldwin, Inc. (""A&B"") is Hawai'i's premier commercial real estate company and the largest owner of grocery-anchored, neighborhood shopping centers in the state. A&B owns, operates and manages approximately 3.9 million square feet of commercial space in Hawai'i, including 22 retail centers, ten industrial assets and four office properties, as well as 154 acres of ground leases. These core assets comprise nearly 72% of A&B's total assets. A&B's non-core assets include renewable energy generation facilities, approximately 27,000 acres of agricultural and conservation land and a vertically integrated paving business. A&B is achieving its strategic objective of becoming a Hawai'i-focused commercial real estate company by expanding and strengthening its Hawai'i CRE portfolio and monetizing non-core assets. Over its 150-year history, A&B has evolved with the state's economy and played a leadership role in the development of the agricultural, transportation, tourism, construction, residential and commercial real estate industries.",REIT—Diversified
"Alfi, Inc.",Dr. Paul Antonio Pereira,1961,"Alfi, Inc. provides interactive intelligent artificial intelligence and machine learning software solutions. Alfi, Inc. was formerly known as Lectrefy, Inc. and changed its name to Alfi, Inc. in January 2020. The company was founded in 2018 and is based in Miami Beach, Florida.",Software—Infrastructure
Alamo Group Inc.,Mr. Jeffery A. Leonard,1954,"Alamo Group Inc. designs, manufactures, distributes, and services agricultural and infrastructure maintenance equipment for governmental and industrial use worldwide. The company offers hydraulically-powered and tractor-mounted mowers, such as boom-mounted mowers; other cutters and replacement parts for heavy-duty and intensive uses; and heavy duty, tractor-and truck-mounted mowing, and vegetation maintenance equipment and replacement parts. It also provides truck-mounted air vacuum, mechanical broom, and regenerative air sweepers; pothole patchers; leaf collection equipment and replacement brooms; parking lot and street sweepers; excavators; catch basin cleaners and roadway debris vacuum systems; truck-mounted vacuum trucks, combination sewer cleaners, and hydro excavators; ice control products; snow plows and heavy duty snow removal equipment, hitches, attachments, and graders; landscape and vegetation maintenance equipment; and public works and runway maintenance products, parts, and services. In addition, the company offers rotary and finishing mowers, flail and disc mowers, front-end loaders, backhoes, rotary tillers, posthole diggers, scraper blades, and replacement parts, as well as zero turn radius mowers; cutting parts, plain and hard-faced replacement tillage tools, disc blades, and fertilizer application components; aftermarket agricultural parts; and heavy-duty mechanical rotary mowers, snow blowers, rock removal equipment, and replacement parts. Further, it provides tractor attachments; agricultural implements; hydraulic and boom-mounted hedge and grass cutters, and other tractor attachments and implements; hedgerow cutters, industrial grass mowers, and agricultural seedbed preparation cultivators; self-propelled sprayers and multi-drive load-carrying vehicles; cutting blades; hydraulic and mechanical boom mowers; and high pressure cleaning systems and trenchers. Alamo Group Inc. was founded in 1955 and is headquartered in Seguin, Texas.",Farm & Heavy Construction Machinery
"Allegro MicroSystems, Inc.",Mr. Ravi  Vig,1985,"Allegro MicroSystems, Inc. designs, develops, manufactures, and markets sensor integrated circuits (ICs) and application-specific analog power ICs for motion control and energy-efficient systems. Its products include magnetic sensor ICs, such as position, speed, and current sensor ICs; and power ICs comprising motor driver ICs, and regulator and LED driver ICs, as well as photonic and 3D sensing components, including photodiodes, eye-safe lasers and rangefinders, and readout ICs for LiDAR applications. The company sells its products to original equipment manufacturers and suppliers primarily in the automotive and industrial markets through its direct sales force, third party distributors, independent sales representatives, and consignment. It operates in the United States, rest of the Americas, Europe, Japan, Greater China, South Korea, and other Asian markets. The company was incorporated in 1990 and is headquartered in Manchester, New Hampshire. Allegro MicroSystems, Inc. is a subsidiary of Sanken Electric Co., Ltd.",Semiconductors
"Align Technology, Inc.",Mr. Joseph M. Hogan,1952,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of seven and ten years, which is a mixture of primary/baby and permanent teeth. This segment's non-comprehensive products comprise Invisalign moderate, lite and express packages, and Invisalign go; and non-case products include retention products, Invisalign training fees, and sales of ancillary products, such as cleaning material, and adjusting tools used by dental professionals during the course of treatment. The Scanners and Services segment offers iTero scanner, a single hardware platform with software options for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; and software for orthodontists for digital records storage, orthodontic diagnosis, and for the fabrication of printed models and retainers. This segment also provides computer-aided design and computer-aided manufacturing services; ancillary products, such as disposable sleeves for the wand; iTero model and dies; third party scanners and digital scans; Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; and TimeLapse technology, which allows doctors or practitioners to compare a patient's historic 3D scans to the present-day scan. The company sells its products in the United States, Switzerland, China, and internationally. Align Technology, Inc. was incorporated in 1997 and is headquartered in Tempe, Arizona.",Medical Devices
"Aligos Therapeutics, Inc.",Dr. Lawrence M. Blatt,1952,"Aligos Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses to develop novel therapeutics to address unmet medical needs in viral and liver diseases. Its lead drug candidate is ALG-010133, a synthetic oligonucleotide that is in Phase I clinical trial for the treatment of chronic hepatitis B (CHB); and ALG-000184, a capsid assembly modulator, which is in Phase I clinical trials to treat CHB. The company is also developing ALG-020572, an antisense oligonucleotide to decrease HBsAg levels; and ALG-055009, a small molecule THR-Ã agonist for the treatment of non-alcoholic steatohepatitis. In addition, it is developing siRNA drug candidate, ALG-125755, as well as ALG-125097 and ALG-125819, demonstrated potent inhibition of HBsAg release from HBV-infected cells. The company has entered into license and collaboration agreements with Luxna Biotech Co., Ltd. to develop and commercialize products containing oligonucleotides targeting SARS-CoV-2; and research, licensing, and commercialization agreement with Katholieke Universiteit Leuven to develop coronavirus protease inhibitors. Aligos Therapeutics, Inc. was incorporated in 2018 and is headquartered in South San Francisco, California.",Biotechnology
Allegiant Travel Company,Mr. Maurice J. Gallagher Jr.,1970,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 12, 2021, it operated a fleet of 97 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including convenience and baggage fees, advance seat assignments, travel protection products, priority boarding, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is headquartered in Las Vegas, Nevada.",Airlines
"Alignment Healthcare, Inc.",Mr. John E. Kao,1997,"Alignment Healthcare, Inc. provides a consumer-centric platform that delivers customized health care to seniors in the United States. It offers medicare advantage plans and health plan options to its partners and patients with customized care and service; and preferred provider organization offerings. The company was founded in 2013 and is based in Orange, California. Alignment Healthcare, Inc was formerly a subsidiary of Alignment Healthcare Holdco 2 LLC.",Healthcare Plans
"Alimera Sciences, Inc.",Mr. Charles Daniel Myers,1985,"Alimera Sciences, Inc., a pharmaceutical company, engages in the development and commercialization of prescription ophthalmic pharmaceuticals in the United States and internationally. It offers ILUVIEN, an intravitreal implant for the treatment of diabetic macular edema (DME), which is a disease of the retina that affects individuals with diabetes and could lead to severe vision loss and blindness; and to prevent relapse in recurrent non-infectious uveitis affecting the posterior segment of the eye. The company sells its products to physician offices, pharmacies, and hospitals through direct sales and distributors. It has a collaboration agreement with EyePoint Pharmaceuticals US, Inc. for the development and sale of insert technology to deliver other corticosteroids to the back of the eye for the treatment and prevention of eye diseases in humans or to treat diabetic macular edema. The company was incorporated in 2003 and is headquartered in Alpharetta, Georgia.",Drug Manufacturers—Specialty & Generic
"Alight, Inc.",Mr. Stephan D. Scholl,1962,"Alight, Inc. operates as a cloud-based provider of integrated digital human capital and business solutions worldwide. The company's solutions enable employees to enrich their health, wealth, and wellbeing, which helps organizations achieve a high-performance culture. It offers employer solutions, such as benefits and payroll solutions; and professional services, including cloud deployment solutions and cloud application services comprising cloud advisory, deployment, and application management services for cloud human capital management and financial platforms. The company was founded in 2017 and is headquartered in Lincolnshire, Illinois.",Software—Application
"ALJ Regional Holdings, Inc.",Mr. Jess Marshall Ravich J.D.,1987,"ALJ Regional Holdings, Inc. provides call center, back-office, staffing, and toll collection services to government and commercial clients in the healthcare, utility, consumer goods, toll, and transportation industries in the United States. It operates through three segments: Faneuil, Carpets, and Phoenix. The Faneuil segment offers customer contact centers, fulfillment operations, and information technology services, as well as manual and electronic toll collection, violation processing, and medical device tracking services. This segment also provides customer relationship management; billing, payment, and claims processing; data entry; document management; operational expertise; workforce and support analytics; quality assurance; and system support and maintenance services. The Carpets segment engages in the retail of floor coverings, including carpets, hardwood, laminates, tiles, ceramic, porcelain, natural stone, vinyl planks and tiles, and area rugs, as well as specialty flooring comprising bamboo, leather, cork, and large format tiles to home builders, and commercial and retail customers. This segment also offers countertop and surrounds, such as granite, solid surface, quartz, and piedrafina primarily for bathrooms and kitchens; kitchen, bathroom, and garage cabinets; closet and closet organizers; and window coverings comprising blinds, shutters, and shades, as well as stone and solid surface fabrication services. The Phoenix segment manufactures book components; educational materials and related products; heavily illustrated books; and specialty commercial products. This segment also provides label, printing, and packaging solutions for the beauty, fragrance, and cosmetic and consumer-packaged goods markets. The company was formerly known as YouthStream Media Networks, Inc. and changed its name to ALJ Regional Holdings, Inc. in October 2006. ALJ Regional Holdings, Inc. was founded in 1995 and is based in New York, New York.",Specialty Business Services
"Alaska Air Group, Inc.",Mr. Bradley D. Tilden,1958,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon. It flies to approximately 115 destinations throughout the United States and North America. The company was founded in 1932 and is based in Seattle, Washington.",Airlines
Alkermes plc,Mr. Richard F. Pops,1988,"Alkermes plc, a biopharmaceutical company, researches, develops, and commercializes pharmaceutical products to address unmet medical needs of patients in various therapeutic areas in the United States, Ireland, and internationally. Its marketed products include ARISTADA (aripiprazole lauroxil), an extended-release intramuscular injectable suspension for the treatment of schizophrenia; VIVITROL (naltrexone for extended-release injectable suspension) for the treatment of alcohol and opioid dependence; RISPERDAL CONSTA for the treatment of schizophrenia and bipolar I disorder; INVEGA SUSTENNA for the treatment of schizophrenia and schizoaffective disorder; XEPLION, INVEGA TRINZA, and TREVICTA to treat schizophrenia; and VUMERITY (diroximel fumarate) for the treatment of relapsing forms of multiple sclerosis in adults, including clinically isolated syndrome, relapsing-remitting and active secondary progressive diseases. The company is also developing LYBALVI (olanzapine/samidorphan), an oral atypical antipsychotic drug candidate for the treatment of adults with schizophrenia and bipolar I disorder; and nemvaleukin alfa, an engineered fusion protein to expand tumor-killing immune cells and to avoid the activation of immunosuppressive cells. It has collaboration agreements with Janssen Pharmaceutica N.V., Janssen Pharmaceutica Inc, and Janssen Pharmaceutica International; a license agreement with Acorda Therapeutics, Inc.; and a license and collaboration agreement with Biogen Swiss Manufacturing GmbH. Alkermes plc was founded in 1987 and is headquartered in Dublin, Ireland.",Biotechnology
"Alkami Technology, Inc.",Mr. Stephen  Bohanon,1981,"Alkami Technology, Inc. offers a cloud-based digital banking platform to serve banks and credit unions in the United States. The company's platform allows financial institutions to onboard and engage new users, accelerate revenues, and enhance operational efficiency, with the support of a proprietary, cloud-based, multi-tenant architecture. It offers an end- to- end set of software products, which include Alkami Platform, Retail Banking Solutions, Business Banking Solutions, and The Alkami Difference. The company was founded in 2009 and is headquartered in Plano, Texas.",Software—Application
The Allstate Corporation,Mr. Thomas Joseph Wilson II,1957,"The Allstate Corporation, through its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. The company operates through Allstate Protection, Protection Services, Allstate Life, and Allstate Benefits segments. The Allstate Protection segment offers private passenger auto and homeowners insurance; specialty auto products, including motorcycle, trailer, motor home, and off-road vehicle insurance; other personal lines products, such as renter, condominium, landlord, boat, umbrella, and manufactured home and stand-alone scheduled personal property; and commercial lines products under the Allstate and Encompass brand names. The Protection Services segment provides consumer product protection plans and related technical support for mobile phones, consumer electronics, furniture, and appliances; finance and insurance products, including vehicle service contracts, guaranteed asset protection waivers, road hazard tire and wheel, and paintless dent repair protection; roadside assistance; device and mobile data collection services; data and analytic solutions using automotive telematics information; and identity protection services. This segment offers its products under various brands including Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside Services, Arity, and Allstate Identity Protection. The Allstate Life Segment offers traditional, interest-sensitive, and variable life insurance products, as well as non-proprietary products offered by third-party providers. Its Allstate Benefits segment provides life, accident, critical illness, short-term disability, and other health insurance products. The company sells its products through call centers, agencies, financial specialists, brokers, wholesale partners, and affinity groups, as well as through online and mobile applications. The Allstate Corporation was founded in 1931 and is based in Northbrook, Illinois.",Insurance—Property & Casualty
Allegion plc,Mr. David D. Petratis,1971,"Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door closers and controls; doors and door systems; electronic security products; electronic, biometric, and mobile access control systems; exit devices; locks, locksets, portable locks, and key systems; time, attendance, and workforce productivity systems; and other accessories. The company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, on-line and e-commerce platforms, and small specialty showroom outlets. Allegion plc was incorporated in 2013 and is headquartered in Dublin, Ireland.",Security & Protection Services
Allakos Inc.,Dr. Robert  Alexander Ph.D.,1956,"Allakos Inc. operates as a clinical stage biopharmaceutical company. The company's lead monoclonal antibody is lirentelimab (AK002), which is in a Phase III study for the treatment of eosinophilic gastritis and/or eosinophilic duodenitis; and a Phase II/III study for the treatment of eosinophilic esophagitis. The is also developing lirentelimab (AK002) for the treatment of mast cell gastrointestinal disease, severe allergic conjunctivitis, chronic urticaria, and indolent systemic mastocytosis. Allakos Inc. was incorporated in 2012 and is headquartered in Redwood City, California.",Biotechnology
"Allogene Therapeutics, Inc.","Dr. Arie S. Belldegrun F.A.C.S., M.D., FACS",1999,"Allogene Therapeutics, Inc., a clinical stage immuno-oncology company, develops and commercializes genetically engineered allogeneic T cell therapies for the treatment of cancer. It develops, manufactures, and commercializes UCART19, an allogeneic chimeric antigen receptor (CAR) T cell product candidate for the treatment of pediatric and adult patients with R/R CD19 positive B-cell ALL. The company also develops ALLO-501, an anti-CD19 allogeneic CAR T cell product candidate that is in Phase I clinical trial for the treatment of R/R non-Hodgkin lymphoma; and ALLO-501A, which is in Phase I/II clinical trial for the treatment R/R large B-cell lymphoma or transformed follicular lymphoma. In addition, it is developing ALLO-715, an allogeneic CAR T cell product candidate that is in a Phase I clinical trial for treating R/R multiple myeloma; ALLO-819, an allogeneic CAR T cell product candidates for the treatment of acute myeloid leukemia; ALLO-605, an allogeneic CAR T cell product candidate for the treatment of multiple myeloma; ALLO-647, an anti-CD52 monoclonal antibody; CD70 to treat renal cell cancer; and DLL3 for the treatment of small cell lung cancer and other aggressive neuroendocrine tumors. The company has license and collaboration agreements with Pfizer Inc.; Servier; Cellectis S.A.; and Notch Therapeutics Inc., as well as clinical trial collaboration agreement with SpringWorks Therapeutics, Inc. It also has a strategic collaboration agreement with The University of Texas MD Anderson Cancer Center for the preclinical and clinical investigation of allogeneic CAR T cell product candidates. The company was founded in 2017 and is headquartered in South San Francisco, California.",Biotechnology
